ID,TITRE,TYPE,SSTYPE,CATEGORIE,STYLE,EVENEMENT,THEME1,THEME2,THEME3,NUMAGREMENT,RAISONSOCIALE,ADRESSE1,ADRESSE2,ADRESSE3,CODEPOSTAL,COMMUNE,PAYS,TEL1,TEL2,FAX,EMAIL1,EMAIL2,WEB1,WEB2,GPSX,GPSY,SIRET,APE,RCS,DESCRIPTIF_TITRE_FRANCAIS,DESCRIPTIF_SSTITRE_FRANCAIS,DESCRIPTIF_CHAPEAU_FRANCAIS,DESCRIPTIF_ARTICLE_FRANCAIS,DESCRIPTIF_TITRE_ANGLAIS,DESCRIPTIF_SSTITRE_ANGLAIS,DESCRIPTIF_CHAPEAU_ANGLAIS,DESCRIPTIF_ARTICLE_ANGLAIS,DESCRIPTIF_TITRE_ALLEMAND,DESCRIPTIF_SSTITRE_ALLEMAND,DESCRIPTIF_CHAPEAU_ALLEMAND,DESCRIPTIF_ARTICLE_ALLEMAND,DESCRIPTIF_TITRE_ESPAGNOL,DESCRIPTIF_SSTITRE_ESPAGNOL,DESCRIPTIF_CHAPEAU_ESPAGNOL,DESCRIPTIF_ARTICLE_ESPAGNOL,DESCRIPTIF_TITRE_ITALIEN,DESCRIPTIF_SSTITRE_ITALIEN,DESCRIPTIF_CHAPEAU_ITALIEN,DESCRIPTIF_ARTICLE_ITALIEN,PHOTO1,PHOTO2,PHOTO3,CLASSEMENT,LABEL1,LABEL2,LABEL3,ANIMAUX,HANDICAPE,TOURISME_HANDICAP1,TOURISME_HANDICAP2,TOURISME_HANDICAP3,TOURISME_HANDICAP4,DATEDU1,DATEAU1,DATEDU2,DATEAU2,DATEDU3,DATEAU3,DATEDU4,DATEAU4,DATEDU5,DATEAU5,CONTACT1TYPE,CONTACT1CIVI,CONTACT1NOM,CONTACT1PRENOM,CONTACT1FONCTION,CONTACT1EMAIL,CONTACT1TEL,CONTACT1FAX,CONTACT2TYPE,CONTACT2CIVI,CONTACT2NOM,CONTACT2PRENOM,CONTACT2FONCTION,CONTACT2EMAIL,CONTACT2TEL,CONTACT2FAX,CHAINE1,CHAINE2,CHAINE3,CHAINE4,LANGUE1,LANGUE2,LANGUE3,LANGUE4,LANGUE5,MODE_PAIEMENT1,MODE_PAIEMENT2,MODE_PAIEMENT3,MODE_PAIEMENT4,MODE_PAIEMENT5,MODE_PAIEMENT6,MODE_PAIEMENT7,MODE_PAIEMENT8,MODE_PAIEMENT9,MODE_PAIEMENT10,EQUIPEMENT1,EQUIPEMENT2,EQUIPEMENT3,EQUIPEMENT4,EQUIPEMENT5,EQUIPEMENT6,EQUIPEMENT7,EQUIPEMENT8,EQUIPEMENT9,EQUIPEMENT10,EQUIPEMENT11,EQUIPEMENT12,EQUIPEMENT13,EQUIPEMENT14,EQUIPEMENT15,EQUIPEMENT16,EQUIPEMENT17,EQUIPEMENT18,EQUIPEMENT19,EQUIPEMENT20,SERVICE1,SERVICE2,SERVICE3,SERVICE4,SERVICE5,SERVICE6,SERVICE7,SERVICE8,SERVICE9,SERVICE10,SERVICE11,SERVICE12,SERVICE13,SERVICE14,SERVICE15,SERVICE16,SERVICE17,SERVICE18,SERVICE19,SERVICE20,ACTIVITE1,ACTIVITE2,ACTIVITE3,ACTIVITE4,ACTIVITE5,CONFORT1,CONFORT2,CONFORT3,CONFORT4,CONFORT5,GROUPES_ACCEPTES,GROUPE_MAX,GROUPE_MIN,NBRE_SALLE_REUNION,NBRE_PERSONNES_SALLE,SUPERFICIE_SALLE,TARIF1_LIBELLE,TARIF1_MIN,TARIF1_MAX,TARIF2_LIBELLE,TARIF2_MIN,TARIF2_MAX,TARIF3_LIBELLE,TARIF3_MIN,TARIF3_MAX,TARIF4_LIBELLE,TARIF4_MIN,TARIF4_MAX,TARIF5_LIBELLE,TARIF5_MIN,TARIF5_MAX,TARIF6_LIBELLE,TARIF6_MIN,TARIF6_MAX,TARIF7_LIBELLE,TARIF7_MIN,TARIF7_MAX,TARIF8_LIBELLE,TARIF8_MIN,TARIF8_MAX,TARIF9_LIBELLE,TARIF9_MIN,TARIF9_MAX,TARIF10_LIBELLE,TARIF10_MIN,TARIF10_MAX,TARIF11_LIBELLE,TARIF11_MIN,TARIF11_MAX,TARIF12_LIBELLE,TARIF12_MIN,TARIF12_MAX,TARIF13_LIBELLE,TARIF13_MIN,TARIF13_MAX,TARIF14_LIBELLE,TARIF14_MIN,TARIF14_MAX,TARIF15_LIBELLE,TARIF15_MIN,TARIF15_MAX,TARIF16_LIBELLE,TARIF16_MIN,TARIF16_MAX,TARIF17_LIBELLE,TARIF17_MIN,TARIF17_MAX,TARIF18_LIBELLE,TARIF18_MIN,TARIF18_MAX,TARIF19_LIBELLE,TARIF19_MIN,TARIF19_MAX,TARIF20_LIBELLE,TARIF20_MIN,TARIF20_MAX
COMCHA0080000946,Agence de voyages Actuel Voyages,Commerce:Service,,,,,,,,,,,,,8000,CHARLEVILLE MEZIERES,FRANCE,,,,,,,,49.77932,4.718441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMCHA0080000554,Agence Postale Communale,Commerce:Service,,Banques et assurances,,,Banque,,,,,Place de la Mairie,,,8800,LAIFOUR,FRANCE,+33 (0)3 24 32 60 63,,,,,,,49.90192,4.69638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMCHA0080000951,Ambiance beauté,Commerce:Service,,Commerces et services divers,,,Bien-être / Relaxation,,,,,II Avenue Roger Posty,,,8320,VIREUX MOLHAIN,FRANCE,06 76 01 81 07,,,coralie.maggio@laposte.net,,,,50.08725,4.724947,,,,Ambiance beauté,,Le bien-être à votre service avec ou sans RDV,"Ouvert mardi, mercredi, jeudi et vendredi 9h - 18h30 non stopSamedi 9h à 17h non stop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMCHA0080000891,Arden'Glaces Roland,Commerce:Service,,Artisan,,,Divers,,,,,9 avenue Saint Julien,,,8000,CHARLEVILLE MEZIERES,FRANCE,03 24 57 47 53,,,,,,,49.76115,4.712422,,,,Arden'Glaces Roland,,Adhérent à la marque collective  Ardennes de France ,"Fabrication artisanale de gaufres. Renommée et ancienneté du produit et de la société. Produit emblématique de Charleville-Mézières, réputé dans tout le département.",,,,,,,,,,,,,,,,,http://cnstlltn.com/master/84d13a95-1285-4af4-b0fc-3d2a6e5e068f/arden+glaces+roland.jpg,http://cnstlltn.com/master/74c582ea-9157-4a22-8c4d-1a7798a86630/logo+adf.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMCHA0080000584,Banque CIC Est,Commerce:Service,,Banques et assurances,,,Banque,,,,,"9, rue Jean-Baptiste Clément",,,8120,BOGNY SUR MEUSE,FRANCE,+33 (0)3 24 32 13 56,,+33 (0)3 24 33 03 91,,,,,49.84687,4.754945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMCHA0080000521,Banque CIC Est,Commerce:Service,,Banques et assurances,,,Banque,,,,,"1, place de l'Hôtel de Ville",,,8800,LES HAUTES RIVIERES,FRANCE,+33 (0)3 24 53 41 76,,,,,,,49.89852,4.86587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMCHA0080000875,Ba'Rock Café,Commerce:Service,,Lieux de sortie,,,Bar,,,,,Place de la Gare,,,8200,SEDAN,FRANCE,03 10 43 25 96,,,,,,,49.69572,4.930176,,,,Ba'Rock Café,,,"Bar à thème, soirées concerts, soirées évènementielles !",,,,,,,,,,,,,,,,,http://cnstlltn.com/master/484ad841-f845-4bc0-ae5b-02abe7a118de/154808_449524735116067_412253530_n.jpg,http://cnstlltn.com/master/a8ed836b-29d6-43af-92ef-2561907f86d4/382346_449526135115927_1580385951_n.jpg,http://cnstlltn.com/master/33ca0b9b-b602-460f-8cda-6ea95b6c3569/426053_449525198449354_524649864_n.jpg,,,,,Animaux acceptés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,français,,,,,Espèces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bar,Espace jeux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMCHA0080000847,Bibliothèque de La Besace (Bibliobus) ,Commerce:Service,,Equipements culturels,,,,,,,,,,,8450,LA BESACE,FRANCE,03 24 22 00 39,,,mairielabesace@mcom.fr,,,,49.55725,4.959877,,,,Bibliothèque de La Besace (Bibliobus) ,,Ouverte les jeudis de 17h30 à 18h30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMCHA0080000850,Bibliothèque d'Hannogne Saint Martin,Commerce:Service,,Points multimédia,,,,,,,,Grand'rue,,,8160,HANNOGNE ST MARTIN,FRANCE,03 24 54 50 07,,,m.bibliothequevalleedelabar@orange.fr ,,,,49.67409,4.828895,,,,Bibliothèque d'Hannogne Saint Martin,,,Adhésion gratuite.Ouverture le mercredi de 15h00 à 18h00 et le vendredi de 17h30 à 19h00.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMCHA0080000846,Bibliothèque Municipale de Blagny ,Commerce:Service,,Equipements culturels,,,,,,,,Salles Perchy - rue de Perchy,,,8110,BLAGNY,FRANCE,03 24 55 03 16,,,bibliotheque_blagny@orange.fr,,http://http://blagny08.mairie.pagespro-orange.fr/accueil_divers_bibliotheque.htm,,49.62252,5.196609,,,,Bibliothèque Municipale de Blagny ,,"Ouvert le lundi de 16h à 18h, le Mercredi de 14h à 18h et le Samedi de 9h à 11h30.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,français,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
